			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[
rnd-5_family-423	Unknown	Unknown	0	0	0	0	69	40	0	249	93	93	481	670	1224	1405	3232	5946	3601	6122	6612	4989	5664	3636	4286	2751	815	742	520	474	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-18	DNA	hAT-Ac	0	0	964	0	4250	46362	1832	21025	30580	21321	17284	26687	30673	16992	14532	13242	24963	40668	15063	9127	3440	4851	3235	1850	2626	1370	863	0	522	158	265	0	0	0	0	0	0	0	0	0
rnd-6_family-2088	Unknown	Unknown	0	0	0	0	0	0	0	0	275	1427	120	287	2295	1227	1905	2728	4861	5598	3509	3737	2160	2112	1201	357	1059	317	836	0	262	0	265	0	0	0	0	0	0	0	0	0
rnd-5_family-5894	Unknown	Unknown	0	1004	0	1263	4998	9115	1549	4759	1920	0	0	0	0	0	0	0	93	158	0	645	126	230	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-76	Unknown	Unknown	0	0	0	0	0	0	0	363	131	1003	743	1384	353	1702	1674	1575	4367	1526	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-6291	Unknown	Unknown	0	0	44	0	41	217	274	389	747	532	792	2076	5684	7724	9749	9760	9611	9515	7702	2896	3094	1379	245	575	351	269	611	142	0	0	0	0	94	60	0	0	0	0	0	0
rnd-5_family-111	Unknown	Unknown	0	0	0	59	53	0	47	192	463	79	142	603	613	1918	2471	3406	4101	4050	4415	1671	2866	319	131	300	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2604	Unknown	Unknown	0	0	0	0	0	0	0	0	50	212	0	181	474	514	303	629	946	1174	1290	1104	874	1413	1578	867	918	482	210	0	94	87	0	0	0	0	0	0	0	0	0	0
rnd-5_family-855	Unknown	Unknown	0	0	0	0	0	0	0	0	147	0	1022	0	212	176	220	149	2006	1057	1752	738	2449	1719	2330	2681	1659	2605	1958	2008	884	1064	232	232	0	36	0	0	0	0	0	0
rnd-1_family-70	Unknown	Unknown	0	91	132	271	314	364	447	0	241	278	0	107	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-873	Unknown	Unknown	0	0	0	0	0	0	0	0	0	63	0	45	154	90	0	418	425	383	1087	379	1607	1159	2094	2147	1132	1504	1595	1530	344	507	117	0	0	0	0	0	0	0	0	0
rnd-6_family-8475	Unknown	Unknown	0	0	0	0	0	0	0	0	0	894	47	64	445	2090	1726	5362	4223	5994	7876	7203	5333	2339	1686	1395	0	156	0	138	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-17	Unknown	Unknown	175	325	16306	9179	6519	4842	16561	6034	2284	1963	5710	7378	6022	4915	7650	3132	4443	5313	4666	2022	722	2500	1044	309	271	194	299	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1070	Unknown	Unknown	0	0	666	0	0	53	1593	449	210	1862	45	903	410	535	192	996	609	528	238	643	220	223	74	69	155	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-865	Unknown	Unknown	0	0	0	0	0	0	0	56	123	287	60	1092	512	1854	1215	2154	1753	2137	1792	1155	946	0	651	375	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-151	Unknown	Unknown	0	0	0	0	291	0	0	0	0	52	0	144	246	266	50	295	786	848	1428	1790	2210	2315	2631	3934	3606	4028	5779	4295	3683	2582	1661	1385	470	707	643	145	87	0	0	0
rnd-4_family-659	Unknown	Unknown	0	0	0	0	0	0	0	42	0	278	0	0	0	0	223	258	110	250	698	329	405	343	322	986	714	823	457	446	81	407	0	0	0	0	0	0	0	0	0	0
rnd-1_family-75	Unknown	Unknown	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-77	Unknown	Unknown	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-43	Unknown	Unknown	0	0	0	0	0	0	0	337	961	0	645	980	892	313	619	312	56	412	641	1705	1207	1097	306	988	0	0	872	334	1333	305	118	32	0	175	0	198	0	0	0	0
rnd-6_family-1732	Unknown	Unknown	0	0	382	257	177	320	1946	1025	2342	1448	2101	1032	2290	1063	1626	362	1089	238	250	83	317	49	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-5557	Unknown	Unknown	0	0	0	0	42	0	873	55	131	0	1369	585	2701	4442	5442	5676	5909	7996	5361	2450	1644	1612	256	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-109	Unknown	Unknown	0	0	0	0	0	0	0	0	0	340	105	0	79	108	0	449	473	779	444	836	995	523	621	1284	654	533	607	319	753	389	256	206	0	0	0	0	0	0	0	0
rnd-5_family-211	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	190	445	1275	2621	3349	2202	2889	1905	2700	1717	717	289	290	0	0	0	0
rnd-6_family-1412	Unknown	Unknown	0	0	1186	1293	1149	2918	5231	3236	4144	1704	2207	950	817	238	262	750	129	884	337	0	0	0	0	0	152	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-56	Unknown	Unknown	78	272	403	191	836	877	813	1048	1626	928	940	1497	1148	620	0	188	132	170	263	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-38	Unknown	Unknown	0	0	0	127	371	1340	1846	552	1521	3020	168	864	355	127	124	46	124	116	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-9658	Unknown	Unknown	0	0	0	0	43	0	45	276	380	324	439	1022	2298	3403	4403	6709	4807	5435	4883	3327	4054	2405	2546	765	907	771	121	375	224	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-61	Unknown	Unknown	0	0	0	0	0	0	309	0	0	0	0	0	0	70	0	252	93	195	384	742	448	871	1101	713	1153	1797	1351	606	0	448	316	405	0	0	0	0	0	0	0	0
rnd-1_family-65	Unknown	Unknown	0	0	0	121	788	925	266	134	0	144	0	143	134	121	217	335	57	651	445	259	36	136	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1095	Unknown	Unknown	0	0	0	0	0	41	0	0	922	210	66	460	1490	2217	1873	3999	8043	7082	8594	9177	8192	5126	2534	1105	948	618	244	12	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-8477	Unknown	Unknown	0	0	0	0	0	34	53	0	82	41	204	254	263	486	1237	653	2194	1503	1634	1389	982	1915	958	468	313	115	127	0	0	64	0	0	0	0	0	0	0	0	0	0
rnd-6_family-650	DNA	DNA	0	0	0	0	0	0	6096	29238	9411	2930	4722	1025	381	1234	750	5650	1405	3326	1202	1132	6511	769	1445	3089	2962	2853	4368	5837	4363	3803	3681	1263	1103	736	1470	560	708	111	0	0
rnd-1_family-59	Unknown	Unknown	0	1141	8167	284	1691	0	282	0	0	61	284	1146	1974	1743	2592	1491	2559	1810	941	1522	767	1406	976	1897	328	483	125	286	19	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1296	Unknown	Unknown	0	0	0	0	42	0	0	96	86	166	936	484	1088	910	2836	6143	7197	13538	13814	17006	15435	10909	6514	5375	3152	2603	672	362	414	321	285	0	269	0	0	0	0	0	0	0
rnd-1_family-25	DNA	TcMar-Tc1	139	758	1106	2386	4470	9196	14693	8843	5945	2500	1254	1578	928	627	248	0	0	0	19	902	144	1692	3137	3844	2421	2479	213	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-5780	Unknown	Unknown	0	9784	3500	0	0	0	517	693	35	1077	2437	2059	2343	8157	11908	17986	19476	10422	16632	9825	13253	10212	9079	8699	3771	2306	0	2493	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4175	Unknown	Unknown	0	0	0	0	0	115	70	1089	53	209	187	148	360	611	2061	1060	3485	3021	3663	6784	4026	5383	5405	6568	5175	3772	2728	847	150	74	152	177	0	0	0	0	0	0	0	0
rnd-6_family-525	Unknown	Unknown	0	0	0	0	0	0	0	0	34	0	95	0	0	0	343	524	643	179	230	779	465	606	935	851	594	256	500	579	101	125	244	0	0	0	0	0	0	0	0	0
rnd-1_family-67	Unknown	Unknown	0	0	0	0	0	0	0	467	1172	1346	1668	0	1091	284	440	518	571	0	0	0	0	0	0	0	0	0	0	0	0	92	72	0	0	0	0	0	0	0	0	0
rnd-4_family-303	Unknown	Unknown	0	0	0	146	2621	4184	8572	9473	4543	5854	6044	3096	2215	1887	1328	1691	2852	4378	3241	5707	5407	4864	6417	4285	2438	359	1319	530	318	164	81	0	0	0	0	0	0	0	0	0
rnd-6_family-3801	DNA	TcMar-Mariner	0	0	36	161	45	1654	869	560	982	2138	3600	6617	7068	12927	8077	5415	4128	6027	1506	771	1094	1037	364	100	0	0	214	0	0	0	0	247	97	0	133	0	0	0	0	0
rnd-6_family-11060	Unknown	Unknown	0	0	342	684	1164	0	0	0	165	661	862	1206	1298	261	2933	984	141	1382	1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-917	Unknown	Unknown	0	11394	231	297	793	2909	781	754	926	1379	657	4684	3221	2390	2464	4230	4627	5246	9192	15780	21650	23427	29942	24887	18048	12219	11395	3574	4091	1149	1007	462	257	0	0	0	0	0	0	0
rnd-5_family-3449	DNA	TcMar-Tc1	0	0	0	0	0	37	0	99	0	42	1405	2712	59	3453	11642	14382	18864	12791	9312	12691	6943	3167	4014	2235	3130	1038	999	680	219	1421	343	362	2500	762	0	260	0	0	0	0
rnd-6_family-1860	Unknown	Unknown	0	0	3033	1254	381	9933	2444	4667	206	0	70	253	137	487	683	206	898	1060	1667	2340	2709	1800	2158	2040	886	856	44	34	15	21	42	0	0	0	0	0	0	0	0	0
rnd-1_family-36	Unknown	Unknown	2550	0	0	0	0	0	0	0	0	0	0	0	0	122	146	270	301	0	530	349	465	703	260	1137	338	562	129	398	209	117	176	0	0	0	0	0	0	0	0	0
rnd-4_family-54	Unknown	Unknown	0	4543	961	17844	14105	31548	8854	6056	4883	5031	3865	5921	2809	5106	2736	2383	734	1058	229	1514	58	0	360	100	0	34	26	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-7105	Unknown	Unknown	0	0	0	0	0	0	171	1643	278	939	1020	852	2659	2501	3370	5528	6292	8784	11128	9592	10665	8918	7167	5045	2153	1756	521	107	276	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4866	LTR	Copia	0	0	0	0	0	0	5293	2765	109	966	3133	1038	7580	11033	4383	4787	10671	7916	11113	3788	4211	3117	1667	242	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-10426	Unknown	Unknown	30129	28352	0	0	0	0	0	0	0	4965	295	6284	4585	7876	12316	4572	7067	7307	13581	11047	12056	21426	8315	5660	3073	864	0	0	0	219	0	0	0	0	0	0	0	0	0	0
rnd-6_family-758	Unknown	Unknown	0	0	8857	4371	0	468	117	0	1384	0	93	0	0	166	661	3245	955	2050	2461	6184	757	3966	134	233	59	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-756	LTR	Gypsy	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	27	197	0	253	177	672	115	965	1357	385	743	854	988	920	642	0	21	183	0	0	0	0	0	0
rnd-1_family-12	DNA	TcMar-Tc1	0	72	87	1045	2104	7890	13292	9006	6311	6564	4833	3096	1653	1924	728	437	1131	51	0	0	404	519	1348	3455	3484	392	406	359	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-57	Unknown	Unknown	0	0	0	0	74	0	0	0	2906	280	1136	2308	837	1797	1341	1109	2378	274	0	0	496	361	367	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-193	Unknown	Unknown	0	0	0	0	0	0	0	0	52	117	167	326	525	1830	2827	3417	6670	9819	16045	20033	19626	19298	14182	10526	3913	3554	737	1155	314	0	0	154	0	0	0	0	0	0	0	0
rnd-6_family-2293	Unknown	Unknown	0	0	0	0	0	0	0	146	0	0	173	398	2019	2570	4584	6413	6313	4899	5742	6279	4616	1915	1428	759	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-12143	Unknown	Unknown	0	87	5550	1465	734	0	1584	0	0	2953	784	15	150	79	2132	2192	5792	2137	602	694	162	101	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-13	Unknown	Unknown	0	0	0	0	0	0	0	156	93	0	163	204	0	560	49	89	0	45	0	114	284	0	147	250	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-73	Unknown	Unknown	0	86	0	80	365	1937	241	24	290	29	21	335	29	0	86	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-3141	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	764	343	51	650	402	217	0	433	246	260	1035	1537	1925	330	1385	790	1606	612	284	226	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4290	Unknown	Unknown	0	0	0	1107	1102	552	0	0	610	0	26177	25786	24996	25271	23036	38142	25686	12172	14177	7536	3709	190	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-94	RC	Helitron	0	0	0	0	0	0	308	850	681	2601	2764	3580	17756	13659	14231	20296	35159	40437	31404	33980	32018	29108	42229	55443	42305	22556	14499	18193	7058	433	8	92	153	0	0	0	0	0	0	0
rnd-5_family-518	Unknown	Unknown	0	0	0	0	0	0	82	56	73	202	295	444	1782	934	1819	2524	3126	6443	6283	6165	6636	6798	5555	1658	2880	644	1069	376	234	305	155	415	0	0	0	0	0	0	0	0
rnd-6_family-6681	Unknown	Unknown	0	313	450	1513	712	592	732	0	0	0	393	685	302	0	0	876	0	0	281	0	0	168	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3861	Unknown	Unknown	0	0	0	0	0	0	30	0	0	0	0	0	270	458	172	627	64	719	436	1324	737	759	1721	1248	1857	1118	437	495	243	155	151	0	0	0	0	0	0	0	0	0
rnd-4_family-218	Unknown	Unknown	86	66	895	1971	14640	9689	21542	13283	11046	16949	11284	23791	11981	1892	4353	4652	775	3186	254	895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-53	Unknown	Unknown	0	0	0	0	168	0	121	126	601	279	794	1444	1656	2239	1398	863	727	1491	763	342	184	49	177	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-81	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	40	89	172	154	120	46	53	225	204	46	81	112	170	0	60	56	57	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4319	Unknown	Unknown	0	0	0	0	0	0	0	0	0	995	228	818	141	0	2387	2366	3891	2769	3393	8920	7078	4393	3406	1483	752	0	299	305	0	77	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2685	Unknown	Unknown	29	0	0	90	44	79	147	641	150	119	344	264	1171	948	106	282	267	1129	1073	681	918	734	152	368	162	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0
rnd-6_family-324	Unknown	Unknown	0	0	238	0	0	0	0	0	0	88	219	0	118	196	106	383	193	195	496	721	881	760	837	1326	574	1391	870	926	861	505	92	370	0	99	0	0	0	0	0	0
rnd-1_family-8	Unknown	Unknown	0	6104	0	39794	7508	0	11293	14195	13881	10320	3223	2979	7801	6964	5085	10536	10529	9075	6070	5090	800	2421	900	831	2202	0	160	52	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-376	Unknown	Unknown	0	66	37	0	273	0	406	540	961	126	194	62	116	0	63	120	187	92	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1480	Unknown	Unknown	29	0	39	62	89	214	114	157	549	242	416	508	274	631	434	551	466	1108	507	629	492	386	398	104	363	388	19	69	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-27	Unknown	Unknown	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	988	1061	2911	2857	2645	3478	5553	2724	3004	928	552	270	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-276	Unknown	Unknown	0	0	0	0	0	419	0	121	58	0	50	54	47	121	492	754	875	1081	1410	1087	3846	4143	4012	7668	7805	6731	7297	7104	6768	5156	3008	2004	2890	1134	0	734	0	0	0	0
rnd-6_family-3658	DNA	TcMar-Tigger	0	0	0	0	0	93	33	417	260	871	1207	1553	1156	1414	1693	1246	797	1279	682	233	173	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-69	Unknown	Unknown	0	58	1872	629	0	0	346	0	60	136	160	0	376	91	1635	983	1984	2099	2816	2604	1473	1957	1093	1083	739	563	254	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-626	Unknown	Unknown	0	0	0	0	0	0	0	53	0	102	1129	385	614	1676	1415	2863	2009	3019	4238	5771	5871	4783	6712	4120	2931	3369	1895	1870	325	324	0	116	0	0	0	0	0	0	0	0
rnd-5_family-4214	Unknown	Unknown	0	0	69	5549	81470	11400	7632	2280	5829	5570	5648	6973	9307	6572	2084	1913	1751	1518	2047	1450	1519	925	88	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1869	Unknown	Unknown	0	0	0	0	0	2811	0	1863	6660	9471	15466	3924	6621	13743	10573	11931	13830	10041	9796	11708	5993	7560	4348	1826	1412	117	322	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-306	Unknown	Unknown	0	0	0	0	0	244	0	0	0	0	0	59	0	0	0	0	0	106	0	102	273	416	165	0	339	0	565	120	397	221	0	319	130	0	0	0	0	0	0	0
rnd-5_family-1088	Unknown	Unknown	0	0	0	787	89	36	181	299	0	820	1027	633	1578	1750	1711	1904	1881	4031	3324	1952	2373	1584	1240	299	870	758	619	61	0	0	108	0	0	0	0	0	0	0	0	0
rnd-6_family-3171	DNA	Merlin	0	0	0	0	0	0	0	0	0	65	0	0	0	506	61	356	567	1346	878	2245	1700	1439	2183	1646	777	1175	850	0	552	6	0	0	0	0	0	0	0	0	0	0
rnd-4_family-49	Unknown	Unknown	36	0	42	54	212	549	616	838	1254	1842	2665	4045	4579	5792	5793	7034	5447	6016	4908	3292	3001	2672	2038	1212	612	465	294	0	125	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-51	Unknown	Unknown	0	0	50	168	0	0	235	115	223	823	236	589	122	315	1451	278	0	0	105	39	0	0	398	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-3082	Unknown	Unknown	0	0	0	181	170	2902	3677	6528	4622	4023	2923	3493	2736	2508	744	1031	518	933	730	84	416	0	0	103	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-719	Unknown	Unknown	169	0	124	590	738	1068	4210	2391	3012	3493	786	677	1096	523	751	167	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-385	Unknown	Unknown	0	0	6722	0	3932	393	0	1339	165	2653	4954	1005	5682	2832	3055	769	1565	246	619	454	96	177	295	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-6697	Unknown	Unknown	0	0	871	1287	320	212	477	860	223	85	224	0	344	410	138	0	141	234	2679	192	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1068	DNA	TcMar-Mariner	0	347	2186	389	3711	7892	2309	2095	899	2477	3249	991	4040	1560	1692	1076	3026	4736	3984	3660	5775	6543	4832	4308	7558	7247	5364	4399	2527	1620	412	524	158	0	0	0	0	0	0	0
rnd-6_family-35	Unknown	Unknown	0	0	0	0	0	0	0	543	0	0	0	0	0	64	112	105	70	82	84	0	717	359	521	401	857	486	315	106	165	121	185	0	123	0	0	0	0	0	0	0
rnd-1_family-1	DNA	TcMar-Mariner	1983	35899	215956	109599	18125	1245	537	172	0	43	0	149	0	0	0	0	0	0	0	0	0	0	61	72	0	0	0	272	1130	0	891	13	692	857	0	0	0	0	0	0
rnd-1_family-6	Unknown	Unknown	0	0	211	695	1597	2501	719	4707	5956	2922	9609	5128	8766	3621	1233	1543	1204	970	845	38	69	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-50	Unknown	Unknown	0	0	0	0	0	0	191	679	629	1438	0	0	437	0	0	582	84	0	219	364	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-87	Unknown	Unknown	0	0	0	0	0	0	284	0	0	0	0	226	0	98	309	67	771	308	297	343	445	804	706	794	1152	1250	556	506	478	226	226	97	86	73	22	0	0	0	0	0
rnd-5_family-3965	Unknown	Unknown	0	0	34	0	0	0	0	316	0	143	113	0	254	453	414	2072	1372	1843	1097	1930	2057	2644	1163	715	1139	47	303	0	139	51	0	0	0	0	0	0	0	0	0	0
rnd-5_family-2298	Unknown	Unknown	0	0	0	0	0	356	0	0	0	57	0	62	0	263	295	454	206	998	978	1040	1297	551	1780	1718	1931	1970	1197	957	1141	750	571	0	161	214	60	0	0	0	0	0
rnd-1_family-10	Unknown	Unknown	0	0	0	0	0	0	0	0	0	133	269	773	507	3707	4603	5704	12960	14548	21780	20401	22343	19086	12979	10227	7172	4666	1968	1470	545	62	0	203	0	0	0	0	0	0	0	0
rnd-5_family-1274	DNA	TcMar-Mariner	0	0	988	297	2016	285	1081	2614	1063	1435	2526	1108	1696	3002	3108	2445	2879	1052	1036	2101	1490	742	1101	967	212	114	0	0	74	0	44	0	0	0	0	0	0	0	0	0
rnd-1_family-21	Unknown	Unknown	0	0	0	316	0	0	0	41	114	72	221	187	44	0	215	0	209	433	184	314	0	119	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-33	Unknown	Unknown	23211	7102	73	8242	342	206	19316	3570	4598	3249	3707	353	1436	2567	4709	8162	2578	2680	1700	6299	1606	1071	1265	441	178	75	0	31	51	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-7	Unknown	Unknown	0	1148	1203	7952	4252	726	934	2554	8057	945	1047	2135	6050	7492	16221	4023	4796	4002	1957	2027	1877	2166	2033	34	320	0	148	0	127	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-72	Unknown	Unknown	0	0	5650	2163	2163	543	3837	3101	1692	6796	740	1832	675	381	700	1136	189	0	62	101	536	1398	715	1122	1592	1633	1356	610	1554	1167	0	0	0	0	0	0	0	0	0	0
rnd-6_family-284	Unknown	Unknown	56	0	111	1082	4259	5004	4491	3110	2645	1275	1384	759	986	549	534	1563	324	0	355	189	420	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-16	Unknown	Unknown	0	0	2140	1922	10319	526	0	1614	1241	3199	3733	8077	6435	5131	2519	4029	7217	2736	1876	1068	1440	1039	2158	102	892	630	175	44	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-8842	Unknown	Unknown	0	0	37	92	44	0	32	187	128	879	834	500	849	1130	2371	5106	6513	7287	11744	13226	11349	10024	7611	2884	3435	3036	321	559	27	203	0	0	0	0	0	0	0	0	0	0
