			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
rnd-4_family-218	Unknown	Unknown	0	66	584	2021	14195	14403	18473	17233	10783	13208	16044	11341	27726	7431	6978	4723	4722	1401	80	1074	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1860	Unknown	Unknown	0	4009	8215	1999	1685	7086	10685	1360	1461	41	70	224	220	405	1053	546	828	1792	2369	1932	3002	1348	3344	1490	804	594	51	106	15	19	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-208	Unknown	Unknown	0	0	41	0	0	56	0	0	89	0	37	167	360	595	518	836	1124	1162	2469	1839	2010	2370	2258	2288	2824	2521	849	638	1701	317	420	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-8842	Unknown	Unknown	0	0	0	92	44	92	96	118	163	787	862	530	879	1729	3340	4702	6770	8780	11708	13990	11981	11964	6215	3175	3530	2910	409	346	87	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-7	Unknown	Unknown	0	2313	3366	6452	3092	2115	1639	1816	4514	3045	827	2417	5165	6650	7584	4790	6317	5732	1844	1696	1737	2819	1093	567	215	584	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-385	Unknown	Unknown	67	0	16791	0	1773	393	0	1339	0	4873	4926	3575	2292	1054	2821	555	1063	190	487	634	131	210	44	33	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-16	Unknown	Unknown	0	0	1604	881	4533	0	0	1562	1325	4089	3267	7364	4046	4831	2078	2963	3881	2610	3447	1366	1964	851	2132	60	277	805	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-49	Unknown	Unknown	36	55	91	58	43	91	801	910	1193	1851	2606	3425	5108	5595	6194	5561	6072	6547	4980	3361	3460	2698	1526	1347	612	143	150	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-719	Unknown	Unknown	169	0	124	554	519	1578	3712	4009	4161	3479	730	394	692	646	180	167	223	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-64	Unknown	Unknown	0	0	3744	3082	1033	0	0	364	332	343	1924	4296	1054	1090	629	329	1379	322	484	119	1451	1164	745	869	0	697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-855	Unknown	Unknown	0	0	0	0	0	0	0	0	47	253	868	0	262	160	220	0	1864	1420	1589	663	2418	2261	2573	2145	2257	2530	1979	2249	1200	1333	381	484	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-6207	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	65	0	105	0	56	294	119	425	438	937	1429	1614	1127	1652	679	717	643	873	0	348	216	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-6003	Unknown	Unknown	656	218	218	364	736	300	0	264	0	0	0	138	0	0	0	21	250	871	908	869	1392	2054	1674	1536	1268	1582	1019	580	143	183	235	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-38	Unknown	Unknown	0	59	0	127	433	355	1529	722	1285	2265	112	688	355	61	185	46	124	116	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-15	Unknown	Unknown	0	0	0	0	0	0	117	210	273	312	1390	1818	3902	1592	1129	2211	2203	5843	878	1323	135	361	2366	1154	40	162	757	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-8	Unknown	Unknown	0	4764	2787	13692	5745	0	8285	11239	14189	7080	2794	6204	5358	6725	2800	4780	10644	6484	4533	4738	2403	2860	1017	865	2190	0	0	52	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-193	Unknown	Unknown	0	0	0	0	0	0	0	54	145	117	167	181	1032	1375	2197	3965	6341	10732	17209	17933	20829	16974	15039	11317	4813	2455	1064	991	139	108	185	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3861	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	341	460	97	473	144	800	743	731	1433	304	1710	1863	1704	1155	280	712	243	155	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-626	Unknown	Unknown	0	0	0	0	0	0	50	53	0	1118	154	389	618	1607	1797	2901	2009	2840	4345	5665	6726	4859	6224	4407	4696	4222	3119	1843	588	236	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-5	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-2260	Unknown	Unknown	0	0	0	0	0	0	248	0	0	0	0	333	163	0	55	172	51	338	0	248	130	176	56	0	268	283	201	90	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-3801	DNA	TcMar-Mariner	0	0	36	101	45	1655	869	539	724	2103	4282	6290	7965	12309	8100	5039	5902	4834	1226	1220	1284	842	364	186	0	41	214	0	0	0	247	109	97	111	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4866	LTR	Copia	0	0	0	0	0	0	5327	2763	0	2631	1551	2620	6446	8329	7250	8432	8402	12272	11530	4711	3974	2586	1700	915	95	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-70	Unknown	Unknown	0	91	88	182	491	364	273	0	174	191	0	107	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1068	DNA	TcMar-Mariner	2492	586	16286	14744	4313	24964	6962	2644	1118	8697	2883	2798	4410	2074	2214	1008	2944	5547	5424	3606	7348	3825	8079	5835	8205	5995	5217	4896	1772	1400	1375	900	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-79	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	79	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2979	Unknown	Unknown	0	0	0	0	0	2137	3105	2392	116	0	0	53	58	289	195	170	681	603	1899	1846	3727	4404	6366	7967	6221	5963	2938	2186	2123	1783	1067	245	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-67	Unknown	Unknown	0	0	0	0	0	0	0	470	1613	1255	1296	283	570	784	249	420	571	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-659	Unknown	Unknown	0	0	0	0	0	284	0	42	0	0	0	0	0	0	276	178	79	564	623	310	709	160	487	1161	663	498	903	355	341	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-34	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	80	315	264	172	0	0	195	451	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-46	Unknown	Unknown	37	0	0	51	438	193	191	211	282	188	200	162	231	123	91	105	98	45	0	51	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-28	Unknown	Unknown	0	0	0	0	0	0	0	0	113	33	170	0	84	45	70	0	249	67	71	160	210	239	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-63	Unknown	Unknown	0	161	0	271	50	317	191	101	141	48	49	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-376	Unknown	Unknown	0	393	37	460	472	0	463	477	183	188	138	123	116	0	252	184	310	218	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-81	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	40	70	205	207	120	103	53	59	165	102	26	111	215	0	171	114	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3449	DNA	TcMar-Tc1	0	0	0	0	0	37	0	0	0	303	1555	896	1028	5668	9425	14101	16346	10600	12451	10167	8835	4145	3356	1437	3087	478	826	951	526	1421	711	912	800	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4175	Unknown	Unknown	0	0	0	0	0	1105	70	93	53	149	187	0	489	364	1641	1348	3594	3478	5343	5086	3986	5131	6042	6134	5009	3998	1987	939	150	0	425	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-54	Unknown	Unknown	0	4026	620	15371	5423	12747	17165	6986	9168	5039	5617	3790	4000	4815	3643	2132	559	2151	2813	3242	501	1025	187	100	0	252	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-8477	Unknown	Unknown	0	0	34	0	0	0	53	0	0	0	203	445	135	498	1118	647	2103	1801	1618	1472	975	1258	1324	335	380	0	123	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-3171	DNA	Merlin	0	0	0	0	0	0	0	0	63	65	0	0	0	478	157	363	701	1362	908	2322	1169	1360	2397	2088	812	1226	911	191	416	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-72	Unknown	Unknown	0	0	1504	2553	388	829	4473	1332	744	4664	1847	927	392	1147	700	374	0	189	161	494	178	1226	914	1123	1723	1863	1230	712	1210	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-12	DNA	TcMar-Tc1	0	131	167	894	1814	9712	11873	7630	4634	7064	3874	3763	2312	1315	753	666	644	102	0	67	1489	882	2647	2872	4800	1858	504	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1071	LTR	Copia	0	0	0	8103	9714	3417	1001	3752	6021	8691	9009	15788	12776	5537	2815	4738	4197	12167	6835	6622	4734	7916	3539	3049	1096	2019	740	121	95	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-44	DNA	TcMar-Tc1	0	0	243	0	976	2275	4353	7852	9301	9022	1217	2105	1174	1462	755	248	115	363	498	0	2055	2148	1604	3254	2270	1640	1617	508	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-54	Unknown	Unknown	0	0	35	0	0	185	65	0	0	0	65	183	0	58	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2604	Unknown	Unknown	0	0	0	0	0	0	0	0	50	212	0	331	199	599	374	660	1108	1054	1290	931	1054	1241	1382	838	1043	409	107	206	92	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3874	Unknown	Unknown	0	0	173	491	140	2023	3179	4866	3332	2584	4404	2276	1726	509	1128	951	864	457	874	0	228	0	38	39	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-87	Unknown	Unknown	0	0	0	0	0	0	281	0	0	0	0	55	0	0	273	303	707	537	289	554	359	374	941	615	942	1091	668	705	259	658	363	97	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-5780	Unknown	Unknown	8888	1894	3532	0	0	37	0	440	563	1096	2411	1297	2357	4807	12408	13981	14699	9641	11345	5824	11828	9513	7385	8867	4981	1977	216	182	21	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-59	Unknown	Unknown	0	851	3930	0	852	0	0	292	0	61	284	874	1014	1392	3269	1965	1470	1104	752	1661	1302	1379	1103	1489	328	645	125	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-32	Unknown	Unknown	0	0	0	0	0	1272	3501	3859	928	285	308	221	2724	494	322	1082	542	214	84	1623	1285	1682	1084	315	0	0	397	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-61	Unknown	Unknown	0	0	0	0	0	0	313	0	0	0	0	0	67	70	0	75	205	557	264	1047	373	860	405	849	1188	924	1380	985	404	167	39	180	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-4416	Unknown	Unknown	0	0	0	51	0	0	197	249	784	1118	1499	1574	1607	1615	903	922	1032	477	661	159	825	74	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-30	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	168	0	0	150	167	0	167	463	156	499	674	191	0	0	158	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2293	Unknown	Unknown	0	0	0	0	0	0	0	146	0	0	60	862	1735	2398	4830	6365	6147	5206	4990	6550	4524	2550	1629	586	737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-34	Unknown	Unknown	0	0	0	383	0	0	0	0	0	0	47	0	72	0	0	0	70	451	0	178	0	343	175	526	228	429	70	237	79	0	130	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2493	Unknown	Unknown	0	0	0	0	0	0	0	0	230	643	145	73	505	308	227	658	2076	1688	2774	2595	3167	2255	2419	1963	799	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-6291	Unknown	Unknown	0	0	80	0	0	132	358	501	430	606	1074	2097	4930	4923	9646	9906	11621	7460	7636	2998	2934	1788	549	684	328	188	611	142	0	0	0	60	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-13	Unknown	Unknown	0	0	0	0	0	0	0	152	0	0	38	192	165	164	49	89	0	171	0	751	123	198	0	250	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1316	Unknown	Unknown	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	134	146	77	343	423	59	701	300	339	352	255	310	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-82	Unknown	Unknown	0	0	0	0	0	0	0	0	58	55	125	55	56	1261	194	57	224	0	0	0	0	0	99	0	242	137	82	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-50	Unknown	Unknown	0	0	0	0	0	0	0	631	219	1739	0	0	0	0	0	228	288	145	219	0	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-7105	Unknown	Unknown	0	0	0	0	0	0	222	1643	278	1103	760	750	2485	2295	3722	4751	7795	8455	9486	8924	10831	10232	7686	5149	2662	2009	669	12	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-11	DNA	TcMar-Mariner	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	66	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-4732	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	1229	0	0	0	1037	1166	1304	613	1479	4796	3968	6939	6395	3198	2673	3440	856	126	25	41	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1732	Unknown	Unknown	139	159	134	81	134	1103	2415	795	2106	1497	1498	1123	2272	1974	1417	877	876	213	68	280	103	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-758	Unknown	Unknown	0	3161	6804	2426	1312	848	4643	3412	1670	289	93	0	241	177	641	3045	1269	2318	1707	7180	1376	2467	660	327	73	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-852	Unknown	Unknown	0	0	0	0	0	0	0	0	0	95	75	252	426	379	244	948	905	848	1622	2663	3653	4182	2715	2160	2665	2368	378	369	0	706	506	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-4	Unknown	Unknown	0	0	0	0	0	0	0	188	0	876	2210	1764	4791	6800	4909	8691	8712	10089	6568	6884	6080	7763	7371	4928	4002	3079	1895	2281	1022	535	254	77	147	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4290	Unknown	Unknown	0	0	0	2209	1574	552	0	174	159	4074	3622	8358	6962	14495	9688	27006	26652	12580	13061	2402	2718	14	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-276	Unknown	Unknown	0	0	38	0	427	0	0	80	0	0	102	172	111	298	215	363	916	947	494	1736	3078	3486	4650	6939	6554	6112	7468	7876	5517	5928	4191	2195	1722	994	165	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-3141	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	764	343	0	335	651	295	0	433	246	216	1079	2253	1209	633	559	1078	1541	907	226	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1274	DNA	TcMar-Mariner	0	0	6636	131	1772	2528	3674	2358	2442	1572	1447	3315	1297	3149	3435	3008	1993	1212	933	1717	1862	981	836	887	192	348	62	0	74	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-49	Unknown	Unknown	0	0	0	0	140	272	546	280	1343	3409	3384	2303	2352	1930	2152	1806	1760	1522	891	805	756	1103	384	450	874	536	264	249	135	0	76	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-33	Unknown	Unknown	12688	4497	1507	4318	244	4254	3999	6074	6758	4257	3897	2860	1950	2569	2633	3635	1837	3965	2817	2778	1431	1513	294	515	79	101	78	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-24	Unknown	Unknown	0	0	0	0	0	510	1217	4688	2377	696	1692	432	3915	3253	3460	1287	3927	1757	2124	1462	2958	2105	1582	746	129	0	61	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-10426	Unknown	Unknown	19790	14654	0	0	0	0	0	0	626	104	1718	4124	7011	3071	5566	3994	8850	11088	12217	8303	13660	11228	12007	3265	2754	451	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3065	LTR	Copia	0	5566	0	654	0	0	0	0	115	272	307	468	385	1833	653	2491	4041	6049	6375	6110	11858	8590	7001	5382	2137	2704	1025	751	110	50	72	190	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-972	Unknown	Unknown	0	0	0	0	0	0	49	52	119	109	546	1151	1590	2239	1581	3018	2460	1903	2277	3521	1400	397	457	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-961	Unknown	Unknown	0	0	0	0	79	565	0	56	121	58	0	175	113	339	609	696	990	688	1786	1796	2616	2094	1154	1759	1980	988	1404	730	316	372	197	106	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-111	Unknown	Unknown	0	0	0	59	53	0	0	192	428	151	56	659	662	1617	2445	3468	3863	5167	3738	1488	3080	544	0	445	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-56	Unknown	Unknown	0	282	447	193	808	792	984	983	1575	1050	768	1265	1203	756	0	195	127	64	121	71	0	71	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1952	Unknown	Unknown	0	0	0	55	0	0	383	565	0	1192	573	1509	2963	1064	1103	1655	1811	805	0	328	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-241	Unknown	Unknown	0	0	0	256	0	0	0	0	62	0	104	0	287	0	178	248	0	491	878	594	537	1331	1748	1052	1749	2044	813	1502	835	897	312	129	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-3_family-2	DNA	TcMar-Tc1	37	0	0	51	0	0	0	250	532	464	1199	1703	14105	46042	76837	36665	39426	24387	20669	15955	18182	11216	16275	16770	18686	14435	9077	3524	2436	1508	0	116	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-47	Unknown	Unknown	0	0	0	0	0	1427	1792	298	3010	3322	2742	423	3352	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-48	Unknown	Unknown	0	0	0	0	0	1218	4627	32	1203	3283	59	745	1026	1815	2979	314	453	2502	4025	2925	418	3122	793	1385	1780	461	162	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-94	RC	Helitron	0	0	0	0	0	0	240	150	629	1417	3429	2407	7597	7392	7892	17411	23976	24788	16229	22212	25186	23168	26197	27753	18068	10450	7721	4470	2967	561	185	92	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4214	Unknown	Unknown	0	0	756	4067	15862	11217	10455	7070	5700	6096	8601	9895	12243	5972	1326	3820	1711	1086	2358	1187	1443	540	289	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-2_family-33	Unknown	Unknown	0	0	40	89	75	52	43	133	398	267	493	1713	3917	2870	5180	9866	15104	21854	26474	40642	51046	51331	52604	53067	44219	34224	17524	11424	5268	1865	684	292	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-120	LTR	Copia	0	0	0	55	0	60	0	96	275	174	5628	4778	11105	3352	5801	10805	13561	18729	25868	10165	4122	3482	1022	1249	440	513	138	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-10	Unknown	Unknown	0	0	0	0	0	0	0	0	0	133	859	590	1067	3694	5411	4796	11592	14409	16120	22304	20041	17521	14429	10215	6886	3932	2019	1788	655	38	300	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-36	Unknown	Unknown	10234	0	0	0	0	0	0	0	0	0	0	0	0	67	177	133	359	171	343	476	498	510	276	696	644	461	605	302	487	101	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-5894	Unknown	Unknown	0	0	4792	0	1604	13141	11270	5136	2109	2060	881	473	0	878	574	0	93	343	0	890	0	793	626	2059	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-52	Unknown	Unknown	0	0	0	0	0	0	193	0	0	1979	2135	3634	5640	2107	913	1441	1812	2961	3125	3673	2589	3886	2217	1577	468	708	212	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-58	Unknown	Unknown	225	90	78	69	219	292	842	4224	1983	1261	1860	942	2536	1814	1130	848	1488	1598	397	1513	695	136	78	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-917	Unknown	Unknown	6748	63705	18133	1725	275	870	390	343	2433	4331	3819	16057	5174	5838	3121	4453	4942	8667	10838	19525	39619	45700	40006	35313	25640	12694	9464	5868	4390	1947	901	874	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-61	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-35	Unknown	Unknown	0	0	0	0	0	0	0	542	0	69	0	0	0	64	104	0	78	82	173	0	652	560	732	235	508	1035	490	199	124	143	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-42	Unknown	Unknown	0	331	370	1318	3917	0	1319	662	1959	3159	3398	4699	3699	925	2550	697	875	443	710	222	1276	706	1158	2213	1995	968	120	508	195	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-518	Unknown	Unknown	0	0	0	0	0	0	82	56	73	202	241	444	1630	844	2011	2200	2952	5548	6657	5474	6370	5579	6334	1930	3938	852	1156	375	219	738	153	570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-2715	DNA	TcMar-Mariner	0	0	0	0	0	97	315	583	350	494	1689	2399	2541	3535	4962	4797	2040	2616	4171	1992	2209	1013	1048	450	322	791	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1919	DNA	CMC-EnSpm	0	48468	9115	3254	4488	1400	2238	2002	2404	1126	2797	1256	2487	1580	1691	975	683	1159	318	186	385	277	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1867	Unknown	Unknown	0	0	0	0	0	6026	2648	813	2410	1631	477	3471	2271	3716	86	2059	677	6470	2746	1746	2998	3130	2345	2013	1575	628	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
